PART NO,VENDOR CODE,VENDOR,GENDER,STYLE,ITEM,SIZE,COLOR,DESCRIPTION,QTY $,DLR $,RTL $,IMAGE NAME A,IMAGE NAME B,IMAGE NAME C,UPC CODE,AL - QTY,MA - QTY,NV - QTY,TOTAL QTY,LBS,KGM,STATUS,ORIGIN
011-604,CRO,HJC Helmets,UNI,Sport Touring,DS-X1SN Frameless Electric,LG,Black," - D.O.T. Approved - Advanced Polycarbonate Compact Shell: Lightweight, superior fit and comfort using advanced CAD technology. Impact Absorbing Multiple Density Expanded Polystyrene - Shield and Visor can easily be removed - Large Eye Port for maximum visibility and superior goggle fit - ACS Advanced Channeling Ventilation System: Full front to back airflow flushes heat and humidity up & out - SuperCool Moisture wicking Interior: Anti-bacterial, removable and washable - Comes with HJ27 Electric Snow Shield complete with Breathguard HJP 510-005 and Chin curtain HJP 510-002 - Glasses Groove can accommodate riders who wear glasses - Weight: XS 3.47 lbs (1,575 +/- 30g), SM to MD 3.46 lbs. (1,573 +/- 30g), LG to 2XL 3.68 lbs. (1,673 +/- 30g)",155.99,163.79,259.99,011-601.jpg,,,272483    ,10,10,10,10,5.58,2.57,A,Vietnam
011-605,CRO,HJC Helmets,UNI,Sport Touring,DS-X1SN Frameless Electric,XL,Black," - D.O.T. Approved - Advanced Polycarbonate Compact Shell: Lightweight, superior fit and comfort using advanced CAD technology. Impact Absorbing Multiple Density Expanded Polystyrene - Shield and Visor can easily be removed - Large Eye Port for maximum visibility and superior goggle fit - ACS Advanced Channeling Ventilation System: Full front to back airflow flushes heat and humidity up & out - SuperCool Moisture wicking Interior: Anti-bacterial, removable and washable - Comes with HJ27 Electric Snow Shield complete with Breathguard HJP 510-005 and Chin curtain HJP 510-002 - Glasses Groove can accommodate riders who wear glasses - Weight: XS 3.47 lbs (1,575 +/- 30g), SM to MD 3.46 lbs. (1,573 +/- 30g), LG to 2XL 3.68 lbs. (1,673 +/- 30g)",155.99,163.79,259.99,011-601.jpg,,,272489    ,10,10,10,10,5.78,2.66,A,Vietnam
011-606,CRO,HJC Helmets,UNI,Sport Touring,DS-X1SN Frameless Electric,2XL,Black," - D.O.T. Approved - Advanced Polycarbonate Compact Shell: Lightweight, superior fit and comfort using advanced CAD technology. Impact Absorbing Multiple Density Expanded Polystyrene - Shield and Visor can easily be removed - Large Eye Port for maximum visibility and superior goggle fit - ACS Advanced Channeling Ventilation System: Full front to back airflow flushes heat and humidity up & out - SuperCool Moisture wicking Interior: Anti-bacterial, removable and washable - Comes with HJ27 Electric Snow Shield complete with Breathguard HJP 510-005 and Chin curtain HJP 510-002 - Glasses Groove can accommodate riders who wear glasses - Weight: XS 3.47 lbs (1,575 +/- 30g), SM to MD 3.46 lbs. (1,573 +/- 30g), LG to 2XL 3.68 lbs. (1,673 +/- 30g)",158.99,166.94,264.99,011-601.jpg,,,272495    ,10,10,7,10,5.78,2.66,A,Vietnam
011-611,CRO,HJC Helmets,UNI,Sport Touring,DS-X1SN Frameless Electric,XS,Matte Black," - D.O.T. Approved - Advanced Polycarbonate Compact Shell: Lightweight, superior fit and comfort using advanced CAD technology. Impact Absorbing Multiple Density Expanded Polystyrene - Shield and Visor can easily be removed - Large Eye Port for maximum visibility and superior goggle fit - ACS Advanced Channeling Ventilation System: Full front to back airflow flushes heat and humidity up & out - SuperCool Moisture wicking Interior: Anti-bacterial, removable and washable - Comes with HJ27 Electric Snow Shield complete with Breathguard HJP 510-005 and Chin curtain HJP 510-002 - Glasses Groove can accommodate riders who wear glasses - Weight: XS 3.47 lbs (1,575 +/- 30g), SM to MD 3.46 lbs. (1,573 +/- 30g), LG to 2XL 3.68 lbs. (1,673 +/- 30g)",161.99,170.09,269.99,011-611.jpg,,,272466    ,4,8,0,10,5.53,2.54,A,Vietnam
011-612,CRO,HJC Helmets,UNI,Sport Touring,DS-X1SN Frameless Electric,SM,Matte Black," - D.O.T. Approved - Advanced Polycarbonate Compact Shell: Lightweight, superior fit and comfort using advanced CAD technology. Impact Absorbing Multiple Density Expanded Polystyrene - Shield and Visor can easily be removed - Large Eye Port for maximum visibility and superior goggle fit - ACS Advanced Channeling Ventilation System: Full front to back airflow flushes heat and humidity up & out - SuperCool Moisture wicking Interior: Anti-bacterial, removable and washable - Comes with HJ27 Electric Snow Shield complete with Breathguard HJP 510-005 and Chin curtain HJP 510-002 - Glasses Groove can accommodate riders who wear glasses - Weight: XS 3.47 lbs (1,575 +/- 30g), SM to MD 3.46 lbs. (1,573 +/- 30g), LG to 2XL 3.68 lbs. (1,673 +/- 30g)",161.99,170.09,269.99,011-611.jpg,,,272472    ,10,10,7,10,5.53,2.54,A,Vietnam
011-613,CRO,HJC Helmets,UNI,Sport Touring,DS-X1SN Frameless Electric,MD,Matte Black," - D.O.T. Approved - Advanced Polycarbonate Compact Shell: Lightweight, superior fit and comfort using advanced CAD technology. Impact Absorbing Multiple Density Expanded Polystyrene - Shield and Visor can easily be removed - Large Eye Port for maximum visibility and superior goggle fit - ACS Advanced Channeling Ventilation System: Full front to back airflow flushes heat and humidity up & out - SuperCool Moisture wicking Interior: Anti-bacterial, removable and washable - Comes with HJ27 Electric Snow Shield complete with Breathguard HJP 510-005 and Chin curtain HJP 510-002 - Glasses Groove can accommodate riders who wear glasses - Weight: XS 3.47 lbs (1,575 +/- 30g), SM to MD 3.46 lbs. (1,573 +/- 30g), LG to 2XL 3.68 lbs. (1,673 +/- 30g)",161.99,170.09,269.99,011-611.jpg,,,272478    ,10,10,10,10,5.58,2.57,A,Vietnam
011-614,CRO,HJC Helmets,UNI,Sport Touring,DS-X1SN Frameless Electric,LG,Matte Black," - D.O.T. Approved - Advanced Polycarbonate Compact Shell: Lightweight, superior fit and comfort using advanced CAD technology. Impact Absorbing Multiple Density Expanded Polystyrene - Shield and Visor can easily be removed - Large Eye Port for maximum visibility and superior goggle fit - ACS Advanced Channeling Ventilation System: Full front to back airflow flushes heat and humidity up & out - SuperCool Moisture wicking Interior: Anti-bacterial, removable and washable - Comes with HJ27 Electric Snow Shield complete with Breathguard HJP 510-005 and Chin curtain HJP 510-002 - Glasses Groove can accommodate riders who wear glasses - Weight: XS 3.47 lbs (1,575 +/- 30g), SM to MD 3.46 lbs. (1,573 +/- 30g), LG to 2XL 3.68 lbs. (1,673 +/- 30g)",161.99,170.09,269.99,011-611.jpg,,,272484    ,10,10,10,10,5.78,2.66,A,Vietnam
011-615,CRO,HJC Helmets,UNI,Sport Touring,DS-X1SN Frameless Electric,XL,Matte Black," - D.O.T. Approved - Advanced Polycarbonate Compact Shell: Lightweight, superior fit and comfort using advanced CAD technology. Impact Absorbing Multiple Density Expanded Polystyrene - Shield and Visor can easily be removed - Large Eye Port for maximum visibility and superior goggle fit - ACS Advanced Channeling Ventilation System: Full front to back airflow flushes heat and humidity up & out - SuperCool Moisture wicking Interior: Anti-bacterial, removable and washable - Comes with HJ27 Electric Snow Shield complete with Breathguard HJP 510-005 and Chin curtain HJP 510-002 - Glasses Groove can accommodate riders who wear glasses - Weight: XS 3.47 lbs (1,575 +/- 30g), SM to MD 3.46 lbs. (1,573 +/- 30g), LG to 2XL 3.68 lbs. (1,673 +/- 30g)",161.99,170.09,269.99,011-611.jpg,,,272490    ,10,10,10,10,5.78,2.66,A,Vietnam
011-616,CRO,HJC Helmets,UNI,Sport Touring,DS-X1SN Frameless Electric,2XL,Matte Black," - D.O.T. Approved - Advanced Polycarbonate Compact Shell: Lightweight, superior fit and comfort using advanced CAD technology. Impact Absorbing Multiple Density Expanded Polystyrene - Shield and Visor can easily be removed - Large Eye Port for maximum visibility and superior goggle fit - ACS Advanced Channeling Ventilation System: Full front to back airflow flushes heat and humidity up & out - SuperCool Moisture wicking Interior: Anti-bacterial, removable and washable - Comes with HJ27 Electric Snow Shield complete with Breathguard HJP 510-005 and Chin curtain HJP 510-002 - Glasses Groove can accommodate riders who wear glasses - Weight: XS 3.47 lbs (1,575 +/- 30g), SM to MD 3.46 lbs. (1,573 +/- 30g), LG to 2XL 3.68 lbs. (1,673 +/- 30g)",164.99,173.24,274.99,011-611.jpg,,,272496    ,10,10,7,10,5.78,2.66,A,Vietnam
013-931,CRO,HJC Helmets,UNI,Sport Touring,DS-X1SN Lander Frameless Electric,XS,MC-3H," - D.O.T. Approved - Advanced Polycarbonate Compact Shell: Lightweight, superior fit and comfort using advanced CAD technology. Impact Absorbing Multiple Density Expanded Polystyrene - Shield and Visor can easily be removed - Large Eye Port for maximum visibility and superior goggle fit - ACS Advanced Channeling Ventilation System: Full front to back airflow flushes heat and humidity up & out - SuperCool Moisture wicking Interior: Anti-bacterial, removable and washable - Comes with HJ27 Electric Snow Shield complete with Breathguard HJP 510-005 and Chin curtain HJP 510-002 - Glasses Groove can accommodate riders who wear glasses - Weight: XS 3.47 lbs (1,575 +/- 30g), SM to MD 3.46 lbs. (1,573 +/- 30g), LG to 2XL 3.68 lbs. (1,673 +/- 30g)",149.99,149.99,289.99,013-931.jpg,,,272463    ,4,2,1,7,5.53,2.54,S,Vietnam
015-752,CRO,HJC Helmets,UNI,Sport Touring,DS-X1 Awing Frameless Electric,SM,MC-5SF," - D.O.T. Approved - Advanced Polycarbonate Compact Shell: Lightweight, superior fit and comfort using advanced CAD technology. Impact Absorbing Multiple Density Expanded Polystyrene - Shield and Visor can easily be removed - Large Eye Port for maximum visibility and superior goggle fit - ACS Advanced Channeling Ventilation System: Full front to back airflow flushes heat and humidity up & out - SuperCool Moisture wicking Interior: Anti-bacterial, removable and washable - Comes with HJ27 Electric Snow Shield complete with Breathguard HJP 510-005 and Chin curtain HJP 510-002 - Glasses Groove can accommodate riders who wear glasses - Weight: XS 3.47 lbs (1,575 +/- 30g), SM to MD 3.46 lbs. (1,573 +/- 30g), LG to 2XL 3.68 lbs. (1,673 +/- 30g)",139.99,139.99,289.99,015-751.jpg,,,279389    ,2,4,0,6,5.99,2.75,S,Vietnam
015-773,CRO,HJC Helmets,UNI,Sport Touring,DS-X1 Awing Frameless Electric,MD,MC-7SF," - D.O.T. Approved - Advanced Polycarbonate Compact Shell: Lightweight, superior fit and comfort using advanced CAD technology. Impact Absorbing Multiple Density Expanded Polystyrene - Shield and Visor can easily be removed - Large Eye Port for maximum visibility and superior goggle fit - ACS Advanced Channeling Ventilation System: Full front to back airflow flushes heat and humidity up & out - SuperCool Moisture wicking Interior: Anti-bacterial, removable and washable - Comes with HJ27 Electric Snow Shield complete with Breathguard HJP 510-005 and Chin curtain HJP 510-002 - Glasses Groove can accommodate riders who wear glasses - Weight: XS 3.47 lbs (1,575 +/- 30g), SM to MD 3.46 lbs. (1,573 +/- 30g), LG to 2XL 3.68 lbs. (1,673 +/- 30g)",139.99,139.99,289.99,015-771.jpg,,,279396    ,6,9,0,10,6.04,2.77,S,Vietnam
015-781,CRO,HJC Helmets,UNI,Sport Touring,DS-X1 Awing Frameless Electric,XS,MC-8SF," - D.O.T. Approved - Advanced Polycarbonate Compact Shell: Lightweight, superior fit and comfort using advanced CAD technology. Impact Absorbing Multiple Density Expanded Polystyrene - Shield and Visor can easily be removed - Large Eye Port for maximum visibility and superior goggle fit - ACS Advanced Channeling Ventilation System: Full front to back airflow flushes heat and humidity up & out - SuperCool Moisture wicking Interior: Anti-bacterial, removable and washable - Comes with HJ27 Electric Snow Shield complete with Breathguard HJP 510-005 and Chin curtain HJP 510-002 - Glasses Groove can accommodate riders who wear glasses - Weight: XS 3.47 lbs (1,575 +/- 30g), SM to MD 3.46 lbs. (1,573 +/- 30g), LG to 2XL 3.68 lbs. (1,673 +/- 30g)",139.99,139.99,289.99,015-781.jpg,,,279400    ,5,10,5,10,5.99,2.75,S,Vietnam
015-782,CRO,HJC Helmets,UNI,Sport Touring,DS-X1 Awing Frameless Electric,SM,MC-8SF," - D.O.T. Approved - Advanced Polycarbonate Compact Shell: Lightweight, superior fit and comfort using advanced CAD technology. Impact Absorbing Multiple Density Expanded Polystyrene - Shield and Visor can easily be removed - Large Eye Port for maximum visibility and superior goggle fit - ACS Advanced Channeling Ventilation System: Full front to back airflow flushes heat and humidity up & out - SuperCool Moisture wicking Interior: Anti-bacterial, removable and washable - Comes with HJ27 Electric Snow Shield complete with Breathguard HJP 510-005 and Chin curtain HJP 510-002 - Glasses Groove can accommodate riders who wear glasses - Weight: XS 3.47 lbs (1,575 +/- 30g), SM to MD 3.46 lbs. (1,573 +/- 30g), LG to 2XL 3.68 lbs. (1,673 +/- 30g)",139.99,139.99,289.99,015-781.jpg,,,279401    ,3,7,6,10,5.99,2.75,S,Vietnam
015-783,CRO,HJC Helmets,UNI,Sport Touring,DS-X1 Awing Frameless Electric,MD,MC-8SF," - D.O.T. Approved - Advanced Polycarbonate Compact Shell: Lightweight, superior fit and comfort using advanced CAD technology. Impact Absorbing Multiple Density Expanded Polystyrene - Shield and Visor can easily be removed - Large Eye Port for maximum visibility and superior goggle fit - ACS Advanced Channeling Ventilation System: Full front to back airflow flushes heat and humidity up & out - SuperCool Moisture wicking Interior: Anti-bacterial, removable and washable - Comes with HJ27 Electric Snow Shield complete with Breathguard HJP 510-005 and Chin curtain HJP 510-002 - Glasses Groove can accommodate riders who wear glasses - Weight: XS 3.47 lbs (1,575 +/- 30g), SM to MD 3.46 lbs. (1,573 +/- 30g), LG to 2XL 3.68 lbs. (1,673 +/- 30g)",139.99,139.99,289.99,015-781.jpg,,,279402    ,10,8,5,10,6.04,2.77,S,Vietnam
015-784,CRO,HJC Helmets,UNI,Sport Touring,DS-X1 Awing Frameless Electric,LG,MC-8SF," - D.O.T. Approved - Advanced Polycarbonate Compact Shell: Lightweight, superior fit and comfort using advanced CAD technology. Impact Absorbing Multiple Density Expanded Polystyrene - Shield and Visor can easily be removed - Large Eye Port for maximum visibility and superior goggle fit - ACS Advanced Channeling Ventilation System: Full front to back airflow flushes heat and humidity up & out - SuperCool Moisture wicking Interior: Anti-bacterial, removable and washable - Comes with HJ27 Electric Snow Shield complete with Breathguard HJP 510-005 and Chin curtain HJP 510-002 - Glasses Groove can accommodate riders who wear glasses - Weight: XS 3.47 lbs (1,575 +/- 30g), SM to MD 3.46 lbs. (1,573 +/- 30g), LG to 2XL 3.68 lbs. (1,673 +/- 30g)",139.99,139.99,289.99,015-781.jpg,,,279403    ,3,4,4,10,6.24,2.87,S,Vietnam
015-785,CRO,HJC Helmets,UNI,Sport Touring,DS-X1 Awing Frameless Electric,XL,MC-8SF," - D.O.T. Approved - Advanced Polycarbonate Compact Shell: Lightweight, superior fit and comfort using advanced CAD technology. Impact Absorbing Multiple Density Expanded Polystyrene - Shield and Visor can easily be removed - Large Eye Port for maximum visibility and superior goggle fit - ACS Advanced Channeling Ventilation System: Full front to back airflow flushes heat and humidity up & out - SuperCool Moisture wicking Interior: Anti-bacterial, removable and washable - Comes with HJ27 Electric Snow Shield complete with Breathguard HJP 510-005 and Chin curtain HJP 510-002 - Glasses Groove can accommodate riders who wear glasses - Weight: XS 3.47 lbs (1,575 +/- 30g), SM to MD 3.46 lbs. (1,573 +/- 30g), LG to 2XL 3.68 lbs. (1,673 +/- 30g)",139.99,139.99,289.99,015-781.jpg,,,279404    ,0,6,0,6,6.24,2.87,S,Vietnam
031-601,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Framed Electric,XS,Black," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & electric shield (HJ-09E) installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards (Optional Chin Curtain HJP 210-002, Comes installed with; Breathguard HJP 210-005 & Electric Shield (HJ-09D) HJP 152-361)",113.99,119.69,189.99,031-601.jpg,,,258246    ,10,10,8,10,5.35,2.46,A,Vietnam
031-602,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Framed Electric,SM,Black," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & electric shield (HJ-09E) installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards (Optional Chin Curtain HJP 210-002, Comes installed with; Breathguard HJP 210-005 & Electric Shield (HJ-09D) HJP 152-361)",113.99,119.69,189.99,031-601.jpg,,,258247    ,10,10,7,10,5.35,2.46,A,Vietnam
031-603,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Framed Electric,MD,Black," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & electric shield (HJ-09E) installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards (Optional Chin Curtain HJP 210-002, Comes installed with; Breathguard HJP 210-005 & Electric Shield (HJ-09D) HJP 152-361)",113.99,119.69,189.99,031-601.jpg,,,258248    ,10,10,10,10,5.3,2.44,A,Vietnam
031-604,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Framed Electric,LG,Black," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & electric shield (HJ-09E) installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards (Optional Chin Curtain HJP 210-002, Comes installed with; Breathguard HJP 210-005 & Electric Shield (HJ-09D) HJP 152-361)",113.99,119.69,189.99,031-601.jpg,,,258249    ,10,10,10,10,5.4,2.48,A,Vietnam
031-605,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Framed Electric,XL,Black," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & electric shield (HJ-09E) installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards (Optional Chin Curtain HJP 210-002, Comes installed with; Breathguard HJP 210-005 & Electric Shield (HJ-09D) HJP 152-361)",113.99,119.69,189.99,031-601.jpg,,,258250    ,10,10,10,10,5.45,2.51,A,Vietnam
031-606,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Framed Electric,2XL,Black," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & electric shield (HJ-09E) installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards (Optional Chin Curtain HJP 210-002, Comes installed with; Breathguard HJP 210-005 & Electric Shield (HJ-09D) HJP 152-361)",116.99,122.84,194.99,031-601.jpg,,,258251    ,10,10,10,10,5.35,2.46,A,Vietnam
031-611,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Framed Electric,XS,Matte Black," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & electric shield (HJ-09E) installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards (Optional Chin Curtain HJP 210-002, Comes installed with; Breathguard HJP 210-005 & Electric Shield (HJ-09D) HJP 152-361)",116.99,122.84,194.99,031-611.jpg,,,258240    ,10,10,8,10,5.35,2.46,A,Vietnam
031-612,CRO,HJC Helmets,UNI,Full-Face Snow Helmet,CS-R3 Framed Electric,SM,Matte Black," - Advanced Injection molded polycarbonate composite shell - ACS Advanced channeling ventilation system - Rapid Fire HJ-09 shield replacement system - Quick, secure, tool-less shield removal & installation - Available with breathguard & electric shield (HJ-09E) installed Right out of the box - 2-Stage Shield Closure Mechanism - Multiple optional shields available - Fully removable and washable cheek pads & Liner - Meets or exceeds D.O.T. standards (Optional Chin Curtain HJP 210-002, Comes installed with; Breathguard HJP 210-005 & Electric Shield (HJ-09D) HJP 152-361)",116.99,122.84,194.99,031-611.jpg,,,258241    ,10,10,10,10,5.35,2.46,A,Vietnam
